timestamp,value-0
0,0.01803504
1,0.0179801
2,0.01814186
3,0.0179801
4,0.0179801
5,0.01792821
6,0.01792821
7,0.01782139
8,0.01787328
9,0.01765963
10,0.01787328
11,0.01782139
12,0.01765963
13,0.01771151
14,0.01771151
15,0.01749786
16,0.0175528
17,0.01760469
18,0.0175528
19,0.01744598
20,0.01744598
21,0.01787328
22,0.01658528
23,0.01728421
24,0.0173361
25,0.01712245
26,0.01722928
27,0.01712245
28,0.01701563
29,0.01685387
30,0.01717739
31,0.01701563
32,0.0169088
33,0.01685387
34,0.01685387
35,0.01680198
36,0.0169088
37,0.0166921
38,0.01664022
39,0.01653339
40,0.01653339
41,0.01647845
42,0.01647845
43,0.01637163
44,0.01637163
45,0.01631669
46,0.01637163
47,0.01620986
48,0.0162648
49,0.01610304
50,0.01615798
51,0.01615798
52,0.01610304
53,0.01599622
54,0.01588939
55,0.01572763
56,0.01572763
57,0.01572763
58,0.01572763
59,0.01567269
60,0.0156208
61,0.0156208
62,0.01556587
63,0.01551398
64,0.01545904
65,0.0154041
66,0.01524539
67,0.01519045
68,0.01519045
69,0.01502869
70,0.01513857
71,0.01508363
72,0.01508363
73,0.01502869
74,0.01502869
75,0.01492187
76,0.01481504
77,0.01492187
78,0.01492187
79,0.01470822
80,0.01460139
81,0.01454645
82,0.01460139
83,0.01449457
84,0.01443963
85,0.01438469
86,0.01427787
87,0.01422598
88,0.01427787
89,0.01406422
90,0.01438469
91,0.01427787
92,0.01379563
93,0.01406422
94,0.01395739
95,0.01390245
96,0.01385057
97,0.01385057
98,0.01379563
99,0.01374069
100,0.01358198
101,0.01347516
102,0.01342022
103,0.01363387
104,0.01325846
105,0.01347516
106,0.01342022
107,0.01315163
108,0.01320657
109,0.01331339
110,0.01304481
111,0.01293798
112,0.01309669
113,0.01293798
114,0.01293798
115,0.01283116
116,0.01288304
117,0.01261446
118,0.01256257
119,0.01261446
120,0.01266939
121,0.01234587
122,0.01240081
123,0.01223904
124,0.01234587
125,0.01229398
126,0.01213222
127,0.01213222
128,0.01207728
129,0.01197046
130,0.01207728
131,0.01191857
132,0.01191857
133,0.01181175
134,0.01175681
135,0.01164998
136,0.01164998
137,0.01170187
138,0.01148822
139,0.01143328
140,0.01148822
141,0.0113814
142,0.01143328
143,0.01121963
144,0.01121963
145,0.01105787
146,0.01100598
147,0.01111281
148,0.01100598
149,0.01095104
150,0.01073739
151,0.01073739
152,0.01073739
153,0.01063057
154,0.01063057
155,0.01057563
156,0.01046881
157,0.01052375
158,0.01041387
159,0.01025516
160,0.01025516
161,0.01025516
162,0.01003846
163,0.00998657
164,0.00998657
165,0.00998657
166,0.00993163
167,0.00998657
168,0.00982481
169,0.00982481
170,0.00976987
171,0.00976987
172,0.00976987
173,0.00955622
174,0.00966305
175,0.00950433
176,0.00939446
177,0.00939446
178,0.00934257
179,0.00912587
180,0.00912587
181,0.00907398
182,0.00950433
183,0.00821634
184,0.00912587
185,0.00886034
186,0.00891222
187,0.0088054
188,0.00875046
189,0.00864363
190,0.00848492
191,0.00859175
192,0.00848492
193,0.00842999
194,0.00842999
195,0.00837505
196,0.00826822
197,0.00821634
198,0.00821634
199,0.00805457
200,0.00805457
201,0.00794775
202,0.00805457
203,0.00794775
204,0.00778599
205,0.00773105
206,0.00773105
207,0.0075174
208,0.0075174
209,0.00757234
210,0.00735564
211,0.00735564
212,0.00730375
213,0.00719692
214,0.00724881
215,0.00724881
216,0.00724881
217,0.00703516
218,0.00714199
219,0.00703516
220,0.00698022
221,0.0068734
222,0.0068734
223,0.00676657
224,0.00671164
225,0.00660481
226,0.00660481
227,0.00655292
228,0.00665975
229,0.00644305
230,0.00639116
231,0.00644305
232,0.00639116
233,0.0062294
234,0.0062294
235,0.00612257
236,0.00617751
237,0.00590893
238,0.00601575
239,0.00601575
240,0.00601575
241,0.00590893
242,0.00601575
243,0.00579905
244,0.00574716
245,0.00564034
246,0.00564034
247,0.00569222
248,0.0055854
249,0.00547857
250,0.00531681
251,0.00564034
252,0.00569222
253,0.00520999
254,0.00526493
255,0.00526493
256,0.00520999
257,0.00515505
258,0.00499634
259,0.0049414
260,0.00520999
261,0.00499634
262,0.00504822
263,0.00499634
264,0.0049414
265,0.00467281
266,0.00467281
267,0.00456599
268,0.00467281
269,0.00462093
270,0.00462093
271,0.00440422
272,0.00456599
273,0.00440422
274,0.00435234
275,0.00440422
276,0.00435234
277,0.00435234
278,0.0042974
279,0.00419058
280,0.00424551
281,0.00424551
282,0.00408375
283,0.00408375
284,0.00397693
285,0.0038701
286,0.0038701
287,0.00392199
288,0.0038701
289,0.00397693
290,0.00392199
291,0.00376023
292,0.00381516
293,0.0036534
294,0.0036534
295,0.00370834
296,0.00381516
297,0.00360151
298,0.0036534
299,0.0036534
300,0.00360151
301,0.00343975
302,0.00349164
303,0.00349164
304,0.00360151
305,0.00338481
306,0.00327799
307,0.00327799
308,0.00333293
309,0.00327799
310,0.00327799
311,0.00317116
312,0.00317116
313,0.0032261
314,0.00327799
315,0.00317116
316,0.00311623
317,0.0032261
318,0.00311623
319,0.00295751
320,0.0030094
321,0.00290258
322,0.0030094
323,0.0030094
324,0.00295751
325,0.00295751
326,0.00284764
327,0.00284764
328,0.00290258
329,0.00279575
330,0.00274081
331,0.00279575
332,0.00274081
333,0.00284764
334,0.00274081
335,0.00268893
336,0.00284764
337,0.0025821
338,0.00268893
339,0.00252716
340,0.0025821
341,0.0025821
342,0.00263399
343,0.00295751
344,0.00209681
345,0.00279575
346,0.00242034
347,0.00247223
348,0.0025821
349,0.00252716
